episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
3,7922.3506063513705,108902,12116,12902,12116,96000,0,0.96059601
4,7554.498884981609,109044,11947,13044,11947,96000,0,0.9509900498999999
episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
0,7425.638804869423,108629,12272,12629,12272,96000,0,0.99
1,7985.099878178007,108851,11911,12851,11911,96000,0,0.9801
2,8004.187089438675,109002,11734,13002,11734,96000,0,0.9702989999999999
3,8260.994289209428,109226,11618,13226,11618,96000,0,0.96059601
4,8496.195197391333,109115,11714,13115,11714,96000,0,0.9509900498999999
5,8194.739763371603,109328,11524,13328,11524,96000,0,0.9414801494009999
6,8307.4102393031,109137,11830,13137,11830,96000,0,0.9320653479069899
episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
0,7273.211747170363,108146,12660,12738,12068,95408,592,0.99
1,7770.039589682198,108880,12036,12880,12036,96000,0,0.9801
2,7936.625243513312,108994,11805,12994,11805,96000,0,0.9702989999999999
3,7859.610920132218,109003,12027,13003,12027,96000,0,0.96059601
4,8175.837213213288,109270,11506,13270,11506,96000,0,0.9509900498999999
episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
0,8070.0168856720775,108698,12199,12698,12199,96000,0,0.99
1,7978.042512791488,108880,12095,12880,12095,96000,0,0.9801
2,7701.496266436018,108925,11941,12973,11893,95952,48,0.9702989999999999
3,8129.827664465949,109129,11694,13129,11694,96000,0,0.96059601
4,7788.17185470588,108922,12017,12938,12001,95984,16,0.9509900498999999
5,8058.815845539763,109309,11400,13309,11400,96000,0,0.9414801494009999
6,7900.601821903679,109249,11669,13639,11279,95610,390,0.9320653479069899
7,8111.840551633083,109323,11399,13323,11399,96000,0,0.92274469442792
8,8101.806323671273,109593,11268,13593,11268,96000,0,0.9135172474836407
9,8816.185890592295,109910,10968,13910,10968,96000,0,0.9043820750088043
episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
0,4524.636998318384,103459,17220,12071,12608,91388,4612,0.99
1,4142.217750169971,102729,18121,12300,12550,90429,5571,0.9801
2,7085.179464196223,108073,12668,12664,12077,95409,591,0.9702989999999999
3,6183.629603350838,107292,13631,12658,12265,94634,1366,0.96059601
4,5704.450312735597,105762,15022,12632,12152,93130,2870,0.9509900498999999
5,4253.185030452058,103046,17727,12274,12499,90772,5228,0.9414801494009999
6,6148.673618680444,106665,14187,12520,12332,94145,1855,0.9320653479069899
7,5458.635658508352,105403,15668,12670,12401,92733,3267,0.92274469442792
8,4247.291361809034,103323,17610,12595,12338,90728,5272,0.9135172474836407
9,4815.700511633491,103885,17014,12569,12330,91316,4684,0.9043820750088043
