episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,average_psnr,epsilon
106,10204.776406863552,115807,4906,19807,4906,96000,0,38.44393742711183,0.19846167993546318
107,10361.98070006043,115961,4883,19961,4883,96000,0,37.98959138046116,0.19548475473643123
108,10038.821485318955,115747,5153,19747,5153,96000,0,38.17735925273051,0.19255248341538475
109,9480.342613691655,115840,5025,19840,5025,96000,0,37.942097442572106,0.18966419616415398
110,10436.84663110864,115835,4940,19835,4940,96000,0,38.48247599049079,0.18681923322169167
111,10243.57864485135,115732,5155,19732,5155,96000,0,38.16171650502947,0.1840169447233663
112,9862.017898984604,115439,5495,19439,5495,96000,0,38.19074407595516,0.1812566905525158
113,10115.310432422744,116047,4882,20047,4882,96000,0,38.27966015046558,0.17853784019422808
114,9726.83424489163,115773,5116,19773,5116,96000,0,38.1873480055628,0.17585977259131466
115,9620.261880164022,115773,5159,19773,5159,96000,0,38.075051508189134,0.17322187600244493
116,9772.457608180375,115845,5037,19845,5037,96000,0,38.162872143117575,0.17062354786240824
117,10352.66324668451,116067,4683,20067,4683,96000,0,38.30421969318084,0.16806419464447211
118,10004.75686608382,114963,5775,18963,5775,96000,0,38.15493638958741,0.16554323172480503
119,10100.58806424866,116222,4622,20222,4622,96000,0,38.079285968926015,0.16306008324893295
120,9865.231954581974,115533,5367,19533,5367,96000,0,37.868944106311204,0.16061418200019895
121,9965.71551382466,115921,4820,19921,4820,96000,0,38.13073189302197,0.15820496927019595
122,9283.643747783737,115153,5674,19153,5674,96000,0,37.816617580622555,0.155831894731143
123,9991.835311910334,115884,4924,19884,4924,96000,0,38.07933412781329,0.15349441631017585
124,10097.93080695698,115989,4818,19989,4818,96000,0,38.25896418404776,0.15119200006552322
125,10200.180774469536,115970,4776,19970,4776,96000,0,38.26070050144754,0.14892412006454037
126,9816.690106620634,115917,5064,19917,5064,96000,0,38.10404392604518,0.14669025826357227
127,10237.324416233165,116217,4807,20217,4807,96000,0,38.25712569286574,0.14448990438961867
128,10007.847996287988,116141,4682,20141,4682,96000,0,38.2508069215161,0.1423225558237744
129,9903.979746004345,116138,4602,20138,4602,96000,0,38.049630080495675,0.14018771748641778
130,9961.16700728487,115491,5354,19491,5354,96000,0,38.170130954841795,0.13808490172412152
131,10142.87706158092,115690,5265,19690,5265,96000,0,37.85575465847232,0.1360136281982597
132,10537.690755482388,115983,4807,19983,4807,96000,0,38.01302926799496,0.13397342377528582
133,10672.717688024772,116144,4696,20144,4696,96000,0,38.299612795292944,0.13196382241865653
134,9664.785364285699,115808,4958,19808,4958,96000,0,37.99043785670877,0.12998436508237668
135,10287.05300315267,115878,4991,19878,4991,96000,0,38.19166891453092,0.12803459960614103
136,9985.346085582723,116021,4984,20021,4984,96000,0,38.206375089708104,0.1261140806120489
137,10426.52433051104,116647,4155,20647,4155,96000,0,38.338795515077216,0.12422236940286817
138,10120.747388581036,115766,5199,19766,5199,96000,0,38.21563087948715,0.12235903386182514
139,10564.554820223259,116656,4068,20656,4068,96000,0,38.555935151990944,0.12052364835389777
140,10664.262212500895,116744,4001,20744,4001,96000,0,38.4317137758432,0.1187157936285893
141,9872.919449609242,115859,4890,19859,4890,96000,0,38.06241421780541,0.11693505672416046
142,10244.055812721766,116005,4729,20005,4729,96000,0,38.3430219634063,0.11518103087329805
143,10763.648756490733,116812,4124,20812,4124,96000,0,38.471675787852256,0.11345331541019858
