episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
163,3541.8786268257113,101976,18892,11409,13459,90567,5433,0.1923853128939671
164,3393.4942046886813,101244,19626,11483,13387,89761,6239,0.19046145976502743
165,7277.757592422058,109016,11782,16936,7862,92080,3920,0.18855684516737714
166,7141.517803850351,109260,11603,18497,6366,90763,5237,0.18667127671570335
167,6925.938000741597,108509,12558,17507,7560,91002,4998,0.18480456394854633
168,5504.972753582044,105492,15312,16113,8691,89379,6621,0.18295651830906087
169,1561.6916576603003,97776,23091,12317,12550,85459,10541,0.18112695312597027
170,5049.7456335892775,105091,15742,11951,12882,93140,2860,0.17931568359471056
171,4503.376112715054,103864,17047,11694,13217,92170,3830,0.17752252675876345
172,6132.8993525043115,107312,13708,12397,12623,94915,1085,0.17574730149117582
173,5682.563795450345,106238,14446,12397,12287,93841,2159,0.17398982847626407
174,4591.991217551031,103939,16937,11776,13100,92163,3837,0.17224993019150142
175,4543.144633267979,104276,16413,12565,12124,91711,4289,0.1705274308895864
176,5967.640245058079,106663,14270,13336,11597,93327,2673,0.16882215658069055
177,3873.789430023615,102450,18293,13169,11574,89281,6719,0.16713393501488363
178,4955.7709429197375,104638,16186,13381,11443,91257,4743,0.16546259566473479
179,4668.23755784662,104473,16538,11234,13777,93239,2761,0.16380796970808745
180,3827.681500427998,102502,18231,10863,13870,91639,4361,0.16216989001100657
181,5717.462524621521,106252,14595,12322,12525,93930,2070,0.1605481911108965
182,5620.238190152234,106378,14696,14416,10658,91962,4038,0.15894270919978754
183,3734.500586809185,102337,18380,11974,12743,90363,5637,0.15735328210778965
184,5116.821386128544,104653,16297,15990,8960,88663,7337,0.15577974928671176
185,5577.251038097245,106285,14682,16962,8005,89323,6677,0.15422195179384465
186,3660.152559706064,101656,19050,14461,10245,87195,8805,0.1526797322759062
187,2993.425668855757,100525,20368,10989,13904,89536,6464,0.15115293495314713
188,5388.945072401107,106264,14674,12457,12481,93807,2193,0.14964140560361566
189,3854.1515242309433,102685,18201,12856,12030,89829,6171,0.1481449915475795
190,6148.845977337113,107262,13701,12152,12811,95110,890,0.1466635416321037
191,6563.018967960497,107945,12708,14817,9836,93128,2872,0.14519690621578268
192,5146.4581178959625,105001,15850,13935,10916,91066,4934,0.14374493715362485
193,5339.164286758541,104982,15835,16670,8147,88312,7688,0.1423074877820886
194,2382.1952049180063,99021,21730,12302,12449,86719,9281,0.1408844129042677
195,5050.61178724232,105291,15480,11505,13266,93786,2214,0.13947556877522502
196,6135.458322572305,107127,13784,15767,9144,91360,4640,0.13808081308747278
197,2234.3988249321014,98964,21817,13914,10867,85050,10950,0.13670000495659804
198,4675.550494105206,104454,16442,10191,14705,94263,1737,0.13533300490703207
199,2998.2969997974224,100906,19782,11466,13222,89440,6560,0.13397967485796175
