episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,average_psnr,epsilon
138,9712.295415698958,116147,4609,20147,4609,96000,0,38.144785873171635,0.12235903386182514
139,10177.715996999714,116670,4196,20670,4196,96000,0,37.99907065888566,0.12052364835389777
140,9682.17184702768,115780,5112,19780,5112,96000,0,37.84275718760862,0.1187157936285893
141,10030.186086533975,115981,4883,19981,4883,96000,0,37.79557178430924,0.11693505672416046
142,10012.84264565889,116046,4786,20046,4786,96000,0,37.943453066730605,0.11518103087329805
143,9773.679385715006,116623,4241,20623,4241,96000,0,37.974608875191386,0.11345331541019858
144,10257.915297706148,116183,4543,20183,4543,96000,0,38.077026570582014,0.11175151567904561
145,10892.549493388513,116926,3909,20926,3909,96000,0,38.30268623845388,0.11007524294385992
146,9646.235479376872,115568,5468,19568,5468,96000,0,37.867335446566614,0.10842411429970203
147,9677.911785458118,116702,4172,20702,4172,96000,0,38.01138558305774,0.1067977525852065
148,9965.074939070477,117369,3416,21369,3416,96000,0,38.29024262823928,0.10519578629642841
149,9904.289725320858,115338,5480,19338,5480,96000,0,37.74848298587239,0.10361784950198198
150,10348.982322398415,117094,3869,21094,3869,96000,0,38.119862874303024,0.10206358175945225
151,10337.356739584435,117244,3540,21244,3540,96000,0,38.373302109838896,0.10053262803306047
152,9495.12239110248,115990,4777,19990,4777,96000,0,38.15027602138496,0.09902463861256457
153,10270.439628274426,116280,4356,20280,4356,96000,0,38.2122756525051,0.09753926903337609
154,10352.282395965753,117252,3649,21252,3649,96000,0,38.46128108348866,0.09607617999787545
155,9539.784161193045,116004,4703,20004,4703,96000,0,37.894651881748075,0.09463503729790732
156,10124.449153177255,116777,3978,20777,3978,96000,0,38.40610529511279,0.0932155117384387
157,10240.422687192164,116715,4026,20715,4026,96000,0,38.026896526676865,0.09181727906236212
158,10113.151611233805,116277,4472,20277,4472,96000,0,38.198398274240404,0.09044001987642668
159,10151.576953845155,116711,3956,20711,3956,96000,0,38.25642819718961,0.08908341957828028
160,9774.955108041599,116730,4308,20730,4308,96000,0,38.106982479012565,0.08774716828460608
161,10318.559880770215,116896,4062,20896,4062,96000,0,38.323699469261015,0.08643096076033699
162,9983.78634546528,117485,3476,21485,3476,96000,0,38.319838810230316,0.08513449634893193
163,10275.223488338848,116571,4312,20571,4312,96000,0,38.15134748459952,0.08385747890369795
164,10058.155399095935,116311,4526,20311,4526,96000,0,38.163615706739655,0.08259961672014247
165,10375.570560721564,117202,3614,21202,3614,96000,0,38.30199056434814,0.08136062246934034
166,10209.268512463026,117175,3677,21175,3677,96000,0,38.32481203029252,0.08014021313230023
167,9928.656859169787,116547,4293,20547,4293,96000,0,38.151524100148585,0.07893810993531572
168,10211.225273159193,117565,3258,21565,3258,96000,0,38.24777266445713,0.07775403828628598
169,10032.607750322493,116283,4479,20283,4479,96000,0,37.9462007458415,0.07658772771199168
170,10053.90629840439,116920,3941,20920,3941,96000,0,38.10323243666273,0.0754389117963118
171,10155.964358030527,117068,3765,21068,3765,96000,0,38.34580437284121,0.07430732811936713
172,10272.303803656689,116688,3999,20688,3999,96000,0,38.197275136813154,0.07319271819757663
173,10205.012782794429,116919,3991,20919,3991,96000,0,38.37374379545693,0.07209482742461297
174,10010.122780943057,116538,4324,20538,4324,96000,0,38.18653257592816,0.07101340501324377
175,10173.161038071032,116766,4158,20766,4158,96000,0,38.13678197303692,0.06994820393804511
176,10037.513101147382,117115,3682,21115,3682,96000,0,38.40455118542815,0.06889898087897443
177,9674.845211455031,116608,4238,20608,4238,96000,0,38.00795779566804,0.06786549616578981
178,10028.869022577372,117253,3668,21253,3668,96000,0,38.24614975809789,0.06684751372330296
179,10064.439152397612,116580,4198,20580,4198,96000,0,38.41734749818953,0.06584480101745341
180,10060.52549607382,116723,4193,20723,4193,96000,0,38.10830036209747,0.06485712900219161
181,9299.782451395939,115676,5053,19676,5053,96000,0,37.864289935194726,0.06388427206715873
182,10507.838717857094,117011,3593,21011,3593,96000,0,38.14672266614841,0.06292600798615135
183,9804.50556701034,116260,4670,20260,4670,96000,0,37.648898937395174,0.06198211786635908
184,9740.386751583103,116216,4690,20216,4690,96000,0,37.837679851333945,0.06105238609836369
185,10215.57158500515,116735,3969,20735,3969,96000,0,38.120186504519886,0.060136600306888235
186,9630.44573602717,116197,4662,20197,4662,96000,0,37.69209055711671,0.05923455130228491
187,9860.091039158011,116330,4506,20330,4506,96000,0,38.15377097253427,0.058346033032750634
188,10303.703301911666,117117,3853,21117,3853,96000,0,38.03511623519899,0.05747084253725938
189,9471.850123157397,116320,4417,20320,4417,96000,0,37.79679515401392,0.05660877989920048
