episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon
391,565892.5,35705,46527,0.0,0.3090268689811483
392,542512.5,35596,46664,0.0,0.3081024924998862
393,586772.5,31897,49311,0.0,0.30718088105935315
394,581042.5,33747,47985,0.0,0.3062620263886224
395,546297.5,35369,46819,0.0,0.3053459202415074
396,532792.5,32437,48951,0.0,0.3044325543964883
397,545130.0,33255,48389,0.0,0.3035219206566376
398,572800.0,36079,46257,0.0,0.302614010849547
399,561522.5,33921,47843,0.0,0.3017088168272538
400,556170.0,34145,47711,0.0,0.30080633046616806
401,536355.0,35384,46804,0.0,0.2999065436669993
402,553992.5,34250,47630,0.0,0.2990094483546843
403,554385.0,33887,47901,0.0,0.2981150364783141
404,536672.5,32419,48937,0.0,0.2972233000110623
405,548415.0,34884,47132,0.0,0.29633423095011246
406,557012.5,33857,47895,0.0,0.29544782131658676
407,573302.5,33004,48464,0.0,0.2945640631554741
408,562042.5,32741,48699,0.0,0.2936829485355589
409,551177.5,38467,44501,0.0,0.29280446954934963
410,531532.5,35819,46417,0.0,0.29192861831300826
411,536572.5,32978,48562,0.0,0.29105538696627914
412,562810.0,34548,47376,0.0,0.2901847676724187
413,542712.5,34304,47588,0.0,0.28931675261812495
414,568647.5,32639,48813,0.0,0.2884513340134675
415,538095.0,35244,46884,0.0,0.2875885040918176
416,565980.0,33475,48121,0.0,0.2867282551097783
417,552260.0,32977,48575,0.0,0.2858705793471152
418,572825.0,34029,47699,0.0,0.285015469106687
419,559917.5,34212,47604,0.0,0.2841629167143765
420,560300.0,35175,46893,0.0,0.28331291451902163
421,574147.5,36210,46126,0.0,0.282465454892347
422,537080.0,34690,47270,0.0,0.2816205302288951
423,564600.0,31304,49736,0.0,0.28077813294595844
424,532005.0,33555,48057,0.0,0.27993825548351114
425,528982.5,35015,47045,0.0,0.2791008903041413
426,536900.0,34430,47478,0.0,0.2782660298929833
427,560815.0,33147,48401,0.0,0.27743366675765047
428,546365.0,37530,45186,0.0,0.2766037934281675
429,507370.0,34013,47695,0.0,0.2757764024569038
430,530842.5,32347,48937,0.0,0.2749514864185066
431,545965.0,33403,48205,0.0,0.27412903790983395
432,543840.0,31976,49220,0.0,0.2733090495498887
433,551187.5,32836,48548,0.0,0.2724915139797522
434,557920.0,35591,46645,0.0,0.2716764238625179
435,559390.0,33388,48248,0.0,0.270863771883226
436,581615.0,33411,48173,0.0,0.2700535507487975
437,528307.5,33746,47922,0.0,0.2692457531879688
438,541977.5,33755,47941,0.0,0.26844037195122644
439,516847.5,33508,48100,0.0,0.26763739981074214
440,551027.5,32297,48975,0.0,0.26683682956030774
441,570297.5,36133,46223,0.0,0.26603865401527077
442,558292.5,35490,46650,0.0,0.2652428660124698
443,561712.5,33669,47923,0.0,0.26444945841017026
444,540757.5,34518,47358,0.0,0.2636584240880001
445,530595.0,38258,44702,0.0,0.26286975594688633
446,547545.0,34453,47503,0.0,0.2620834469089909
447,566797.5,33067,48493,0.0,0.26129948991764734
448,536505.0,34308,47504,0.0,0.2605178779372975
449,557765.0,35767,46457,0.0,0.2597386039534284
450,573492.5,35225,46867,0.0,0.258961660972509
451,563890.0,33713,47983,0.0,0.2581870420219278
452,539750.0,34884,47132,0.0,0.2574147401499302
453,557760.0,38289,44675,0.0,0.2566447484255559
454,553645.0,34301,47455,0.0,0.25587705993857685
455,539207.5,32025,49139,0.0,0.2551116677994352
456,558180.0,36179,46137,0.0,0.25434856513918164
457,561712.5,34182,47638,0.0,0.2535877451094134
458,562277.5,33880,47808,0.0,0.2528292008822131
459,525652.5,34158,47666,0.0,0.2520729256500874
460,536535.0,34238,47602,0.0,0.2513189126259057
461,530912.5,36769,45735,0.0,0.2505671550428396
462,570325.0,37740,45032,0.0,0.24981764615430188
463,575650.0,33590,48054,0.0,0.24907037923388603
464,571457.5,33169,48375,0.0,0.24832534757530594
465,536035.0,36132,46216,0.0,0.24758254449233566
466,559150.0,34865,47123,0.0,0.2468419633187494
467,534912.5,33771,47901,0.0,0.24610359740826177
468,535970.0,34958,47082,0.0,0.24536744013446798
469,562402.5,35194,46878,0.0,0.24463348489078454
470,526637.5,35863,46365,0.0,0.2439017250903899
471,546227.5,35093,46919,0.0,0.2431721541661653
472,560690.0,36897,45639,0.0,0.2424447655706359
473,556260.0,36248,46124,0.0,0.241719552775912
474,521345.0,33861,47859,0.0,0.24099650927363042
475,537867.5,32996,48480,0.0,0.24027562857489612
476,526390.0,31754,49334,0.0,0.23955690421022396
477,558210.0,34220,47600,0.0,0.2388403297294807
478,558277.5,34073,47675,0.0,0.23812589870182696
479,537142.5,33026,48446,0.0,0.2374136047156597
480,558772.5,35071,46941,0.0,0.23670344137855454
481,524542.5,34489,47351,0.0,0.23599540231720845
482,581390.0,34253,47547,0.0,0.23528948117738252
483,548242.5,33993,47779,0.0,0.23458567162384497
484,567677.5,32320,48944,0.0,0.23388396734031427
485,541965.0,35275,46777,0.0,0.23318436202940246
486,562052.5,34729,47171,0.0,0.23248684941255868
487,560840.0,32424,48816,0.0,0.23179142323001273
488,526120.0,34728,47212,0.0,0.23109807724071896
489,560642.5,35269,46751,0.0,0.23040680522230025
490,550687.5,33501,48083,0.0,0.22971760097099217
491,528077.5,34211,47565,0.0,0.2290304583015873
492,573280.0,33212,48304,0.0,0.2283453710473797
493,510970.0,35102,46886,0.0,0.2276623330601096
494,543757.5,32277,48975,0.0,0.2269813382099082
495,551417.5,33177,48307,0.0,0.2263023803852427
496,534705.0,34629,47227,0.0,0.22562545349286134
497,549142.5,35848,46340,0.0,0.2249505514577389
498,542990.0,35286,46838,0.0,0.224277668223022
499,555347.5,37063,45457,0.0,0.22360679774997486
500,536860.0,33352,48224,0.0,0.22293793401792503
501,578562.5,35139,46817,0.0,0.22227107102420943
502,498390.0,32505,48799,0.0,0.2216062027841204
503,552702.5,32565,48803,0.0,0.2209433233308521
504,563995.0,34091,47605,0.0,0.22028242671544684
505,513105.0,34509,47339,0.0,0.21962350700674177
506,555277.5,34474,47370,0.0,0.21896655829131562
507,533585.0,32575,48757,0.0,0.21831157467343562
508,560327.5,34740,47184,0.0,0.21765855027500466
509,539632.5,33779,47881,0.0,0.21700747923550845
510,549682.5,36204,46108,0.0,0.21635835571196296
511,540757.5,32054,49098,0.0,0.215711173878862
512,536742.5,34472,47408,0.0,0.21506592792812487
513,557752.5,35582,46518,0.0,0.21442261206904437
514,543847.5,35601,46523,0.0,0.21378122052823467
515,513090.0,34289,47487,0.0,0.21314174754957965
516,538407.5,38805,44123,0.0,0.21250418739418114
517,511607.5,31874,49238,0.0,0.21186853434030745
518,570752.5,33918,47806,0.0,0.21123478268334198
519,544842.5,32721,48599,0.0,0.2106029267357321
520,539152.5,33833,47867,0.0,0.20997296082693812
521,531327.5,36138,46146,0.0,0.20934487930338222
522,534845.0,36128,46156,0.0,0.20871867652839793
523,576405.0,32833,48575,0.0,0.20809434688217945
524,556045.0,37650,45018,0.0,0.20747188476173123
525,545242.5,34844,47096,0.0,0.20685128458081764
526,531327.5,32428,48732,0.0,0.20623254076991288
527,515147.5,33411,48065,0.0,0.20561564777615102
528,521052.5,34127,47601,0.0,0.2050006000632761
529,555720.0,34777,47143,0.0,0.20438739211159257
530,544440.0,36496,45932,0.0,0.20377601841791554
531,541810.0,34752,47116,0.0,0.2031664734955216
532,554727.5,35241,46775,0.0,0.2025587518740995
533,521150.0,36078,46182,0.0,0.20195284809970102
534,528285.0,36350,45970,0.0,0.20134875673469207
535,526932.5,35468,46616,0.0,0.2007464723577039
